mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Alouatta seniculus,NT,S,Micropholis venulosa,Sapotaceae,N,F,I,NA,NA,11.06666667,Andresen 2000
Alouatta seniculus,NT,S,Pourouma melinoni,Urticaceae,N,F,I,NA,NA,10.07682143,Julliot 1996
Alouatta seniculus,NT,S,Pourouma villosa,Urticaceae,N,F,I,NA,NA,8.944176471,Gomez 2004
Alouatta seniculus,NT,S,Protium neglectum,Burseraceae,N,F,D,NA,NA,11.82133333,Julliot 1996
Alouatta seniculus,NT,S,Quiina obovata,Quiinaceae,N,F,I,NA,NA,NA,"Julliot 1997, Julliot 1996"
Alouatta seniculus,NT,S,Tapirira obtusa,Anacardiaceae,N,F,I,NA,NA,NA,Regan 2001
Alouatta seniculus,NT,S,Tapirira peckoltiana,Anacardiaceae,N,F,I,NA,NA,NA,Julliot 1996
Cerdocyon thous,NT,S,Guazuma ulmifolia,Sterculiaceae,N,D,D,48,1.5,17.83870968,Bianchi 2014
Cerdocyon thous,NT,S,Harrisia bonplandii,Cactaceae,N,F,D,749,1.8,42.5,Bianchi 2014
Cerdocyon thous,NT,S,Hovenia dulcis,Rhamnaceae,I,F,I,3,3.225,5.572413793,Lima 2015
Cerdocyon thous,NT,S,Diospyros hispida,Ebenaceae,N,F,I,7.75,5.29,42.3,"Bianchi 2014, Jacomo 2004"
Cerdocyon thous,NT,S,Protium heptaphyllum,Burseraceae,N,F,D,NA,6.4,15.4,Bianchi 2014
Cerdocyon thous,NT,S,Byrsonima orbignyana,Malpighiaceae,N,F,I,NA,7,12.1,Bianchi 2014
Cerdocyon thous,NT,S,Vitex cymosa,Lamiaceae,N,F,I,1,8.453513514,16.53666667,Bianchi 2014
Cerdocyon thous,NT,S,Genipa americana,Rubiaceae,N,F,I,172.2857143,9.2,63.26388889,Bianchi 2014
Cerdocyon thous,NT,S,Copernicia alba,Arecaceae,N,D,I,1,9.264705882,16.4,Bianchi 2014
Cerdocyon thous,NT,S,Mouriri elliptica,Melastomataceae,N,F,I,3,11.88114754,27.31333333,Bianchi 2014
Cerdocyon thous,NT,S,Hymenaea stigonocarpa,Fabaceae,N,F,I,NA,12.684,17.4,Bianchi 2014
Cerdocyon thous,NT,S,Acrocomia aculeata,Arecaceae,N,D,I,1,23.8,30.06395349,Bianchi 2014
Cerdocyon thous,NT,S,Allagoptera leucocalyx,Arecaceae,N,D,I,NA,NA,31.7,Bianchi 2014
Cerdocyon thous,NT,S,Parinari obtusifolia,Chrysobalanaceae,N,F,I,1,NA,20,Jacomo 2004
Cerdocyon thous,NT,S,Bromelia balansae,Bromeliaceae,N,F,I,23.40909091,NA,20,"Bianchi 2014, Jacomo 2004, Neto 2016"
Cerdocyon thous,NT,S,Annona cornifolia,Annonaceae,N,F,I,40.5,NA,NA,Bianchi 2014
Cerdocyon thous,NT,S,Annona dioica,Annonaceae,N,F,I,NA,NA,75.1,Bianchi 2014
Didelphis marsupialis,NT,S,Cecropia obtusifolia,Urticaceae,N,F,I,2792,1.125,5.7,Medellin 1994
Didelphis marsupialis,NT,S,Micropholis guyanensis ,Sapotaceae,N,F,I,1.5,8.583333333,17,Andresen 2001
