Plant Species,Citations
Ficus boyacensis,https://db.fieldmuseum.org/34e4a1c7-cd01-4475-b365-01c7d434abda. FMNH300773. Field Museum of Natural History.
Ficus broadwayi,
Ficus calyptroceras,
Ficus clusiifolia,
Ficus cundinamarcensis,
Ficus dendrocida,https://db.fieldmuseum.org/452ee1c2-0ff0-477a-a3e0-ba0523c4ebdd. FMNH300788. Field Museum of Natural History.
Ficus enormis,
Ficus gomelleira,
Ficus guianensis,
Ficus insipida,
Ficus krukovii,
Ficus lehmannii,https://db.fieldmuseum.org/721da1f8-8972-4ba9-a6ce-1953fd495d9d FMNH350124. Field Museum of Natural History.
Ficus matiziana,https://db.fieldmuseum.org/548ada83-0f9e-4e89-ba96-0427ebdc2e67. FMNH2903179. Field Museum of Natural History.
Ficus membranacea,https://db.fieldmuseum.org/d00086d0-97bd-4ff7-b749-6dab07363485. FMNH300959. Field Museum of Natural History.
Ficus mutisii,https://db.fieldmuseum.org/c508524c-4a48-4a8e-910d-755c069951d1. FMNH3377126. Field Museum of Natural History.
Ficus nymphaeifolia,
Ficus obtusifolia,
Ficus pertusa,
Ficus sphenophylla,
Ficus trigona,
Ficus usiacurina,
Fimbristylis dichotoma,"Martin, R. J. (n.d.). Fimbristylis dichotoma (L.) Vahl [Photograph]. Retrieved from https://weedidcambodian.wordpress.com/fimbristylis-dichotoma/
Fimbristylis dichotoma (L.) Vahl. (n.d.). Seed Information Database. Retrieved December 12, 2024, from https://ser-sid.org/species/cccc03ef-c2ad-41d1-86d2-4ef74e1a21bb
Fimbristylis dichotoma (L.) Vahl subsp. dichotoma. (n.d.). Seed Information Database. Retrieved December 12, 2024, from https://ser-sid.org/species/a2dde1ef-e713-4a93-bf48-06ffdd0e043c
Fimbristylis dichotoma (L.) Vahl subsp. depauperata (R.Br.) J.Kern. (n.d.). Seed Information Database. Retrieved December 12, 2024, from https://ser-sid.org/species/9c719d34-2a0c-468f-9754-684e556b92cf"
Garcinia brasiliensis,
Garcinia macrophylla,
Garcinia madruno,https://db.fieldmuseum.org/3a6ec0fa-f490-4d05-8d84-959ff4fb6f1e. FMNH392509. Field Museum of Natural History.
Geissospermum laevis,
Genipa americana,
Gleasonia uaupensis,
Gomidesia affinis,
Goupia glabra,
Guapira cuspidata,
Guapira graciliflora,
Guapira guianensis,
Guarea glabra,
Guarea grandifolia,
Guarea kunthiana,
Guatteria decurrens,
Guatteria ferruginea,
Guatteria foliosa,
Guatteria insculpta,
Guatteria olivacea,
Guatteria punctata,
Guazuma mutamba,
Guazuma ulmifolia,
Guettarda acreana,https://db.fieldmuseum.org/2fa66816-3f55-4625-abdd-4be471a02bb8. FMNH285294. Field Museum of Natural History.
Guettarda hirsuta,
Guettarda viburnoides,
Gustavia hexapetala,
Gustavia superba,
Hancornia speciosa,
Harrisia bonplandii,
Hebepetalum humiriifolium,
Hedyosmum cuatrecazanum,https://db.fieldmuseum.org/01e4ec9c-cb06-469f-a5ab-be5106028b89. FMNH3841578. Field Museum of Natural History.
Heisteria duckei,
Heisteria nitida,
Heisteria silvianii,
Helicostylis pedunculata,
Helicostylis scabra,https://db.fieldmuseum.org/1407d853-8ddb-42f8-a78c-a5c8b1688416. FMNH2907381. Field Museum of Natural History.
Helicostylis tomentosa,
Henriettella fissanthera,
Herrania kanukuensis,
Heteropsis flexuosa,
Heteropsis jenmanii,
Heteropsis oblongifolia,
Hieronyma alchorneoides,
Hieronyma oblonga,
Holocalyx balansae,
Homolepis aturensis,https://db.fieldmuseum.org/849bfc06-1907-4a66-b38a-d1c5974a1e6f. FMNH307758. Field Museum of Natural History.
Hovenia dulcis,http://specimens.kew.org/herbarium/K001038596
Hyeronima alchorneoides,
Hyeronima huilense,
Hymenaea altissima,
Hymenaea courbaril,
Hymenaea oblongifolia,
Hymenaea stigonocarpa,"Tropicos.org. Missouri Botanical Garden. 12 Dec 2024 http://legacy.tropicos.org/Image/100471644 Photographer: MBG CC-BY-NC-SA
https://db.fieldmuseum.org/e70068c4-48fa-4b5e-8b31-e198594d5c9d. FMNH288567. Field Museum of Natural History."
Inga acreana,
Inga acrocephala ,
Inga alba,
Inga bonplandiana, Tropicos.org. Missouri Botanical Garden. 28 Jan 2024 http://www.tropicos.org/Image/100328787 Photographer: MBG CC-BY-NC-SA
Inga cylindrica,
Inga edulis,
Inga gracilifolia,Tropicos.org. Missouri Botanical Garden. 28 Jan 2024 http://www.tropicos.org/Image/100497861 Photographer: MBG CC-BY-NC-SA
Inga huberi,
Inga ingoides,http://specimens.kew.org/herbarium/K001473368
Inga leiocalycina,
Inga macrophylla ,
Inga marginata ,Tropicos.org. Missouri Botanical Garden. 12 Dec 2024 http://legacy.tropicos.org/Image/100498960 Photographer: MBG CC-BY-NC-SA
Inga pezizifera,Tropicos.org. Missouri Botanical Garden. 28 Jan 2024 http://www.tropicos.org/Image/81263 CC-BY-NC-SA
Inga rubiginosa,
Inga semialata,Tropicos.org. Missouri Botanical Garden. 28 Jan 2024 http://www.tropicos.org/Image/100498960 Photographer: MBG CC-BY-NC-SA
Inga stenoptera,
Inga tenuistipula,
Inga thibaudiana,
Iriartea deltoidea,
Iryanthera crassifolia,https://db.fieldmuseum.org/2f035f39-030c-4ec6-a630-e53e0eec8579. FMNH2963138. Field Museum of Natural History.
Iryanthera sagotiana,
Isertia coccinea,https://db.fieldmuseum.org/6866a971-97d2-48f1-a3a9-2a0dcb0afda5. FMNH311289. Field Museum of Natural History.
Jacaratia digitata,
Jacaratia spinosa,
Jessenia bataua,
Joannesia princeps,
Lacmellea acida,
Lacmellea aculeata,https://db.fieldmuseum.org/7c777907-1224-4314-8af3-742f1b508098. FMNH3661856. Field Museum of Natural History.
Lacmellea ramosissima,https://db.fieldmuseum.org/0edf95a2-ea8b-46ba-a7f7-6068f63d6bb4. FMNH3686194. Field Musuem of Natural History.
Laetia corymbulosa,http://specimens.kew.org/herbarium/K000471407
Laetia procera,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/62376 Photographer: MBG CC-BY-NC-SA
Landolphia guianensis,
Lantana camara,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/100420784 Photographer: MBG CC-BY-NC-SA
Lecythis pisonis,
Lecythis pneumatophora,
Lecythis poiteaui,"Jarana amarela (Lecythis poiteaui). (n.d.). ITTO. Retrieved December 13, 2024, from http://www.tropicaltimber.info/specie/jarana-amarela-lecythis-poiteaui/
Taxon details: Lecythis poiteaui O.Berg. (n.d.). New York Botanical Garden. Retrieved December 13, 2024, from https://sweetgum.nybg.org/science/projects/lp/taxon-details/?irn=133681"
Leonia glycycarpa,
Lepidagathis alopecuroidea,
Licania membranacea,https://db.fieldmuseum.org/d5d97b03-712b-44ff-9717-cd07fd7f7580. FMNH3112720. Field Museum of Natural History.
Licania platypus,
Lindera melissifolia,https://db.fieldmuseum.org/f63a6ec9-66c1-4134-942a-6e7d44acc397. FMNH205435. Field Museum of Natural History.
Lithraea molleoides,https://db.fieldmuseum.org/4f995caf-c6cf-4270-ba55-c44538632460. FMNH2901420. Field Museum of Natural History.
Longsdorphia hypogaea,
Ludovia lancifolia,
Maclura tinctoria,"Maclura tinctoria (L.) D.Don ex Steud. (n.d.). Seed Information Database. Retrieved December 13, 2024, from https://ser-sid.org/species/800430b4-9be3-4b73-966e-9148caeccc82"
Macrolobium angustifolium,Tropicos.org. Missouri Botanical Garden. 13 Dec 2024 http://legacy.tropicos.org/Image/100467833 Photographer: MBG CC-BY-NC-SA
Mangifera indica,Tropicos.org. Missouri Botanical Garden. 05 Feb 2024 https://tropicos.org/image/100396639
Manilkara bidentata,
Manilkara huberi,
Maquira calophylla,
Maquira guianensis,"Paton, S. (2003). Maquira guianensis [Photograph]. Retrieved from https://biogeodb.stri.si.edu/bioinformatics/dfm/metas/view/9140"
Marcgravia polyantha,
Maripa janusiana,
Maripa peruviana,
Maripa scandens,https://db.fieldmuseum.org/68c4d720-e13f-48da-ae0e-95d5679a86a5. FMNH283091. Field Museum of Natural History.
Matayba elaeagnoides,
Matisia obliquifolia,https://db.fieldmuseum.org/047d406a-9fdb-43b0-b0f3-8e1fddd199c6. FMNH3360139. Field Museum of Natural History.
Mauritia flexuosa,
Mauritiella aculeata,
Maximiliana maripa,
Maytenus macrocarpa,https://db.fieldmuseum.org/c7ce4e2f-1de8-4413-9592-5c0d387a6026. FMNH259336. Field Museum of Natural History.
Melicoccus lepidopetalus,http://specimens.kew.org/herbarium/K000542758
Mendoncia glomerata,https://db.fieldmuseum.org/198a508d-27a8-4a3b-bc4d-a83d4440b63f. FMNH306882. Field Museum of Natural History.
Mendoncia hoffmannseggiana,
Mendoncia odorata,
Mendoncia pedunculata,
Miconia acuminifera,
Miconia albicans,
Miconia cuspidata,
Miconia flammea,http://specimens.kew.org/herbarium/K000536125
Miconia holosericea,
Miconia poeppigii,
Miconia ternatifolia,
Miconia trianaei,
Micropholis caudata,
Micropholis cayennensis,
Micropholis guyanensis ,
Micropholis melinoniana ,
Micropholis mensalis,
Micropholis obscura,
Micropholis venulosa,https://db.fieldmuseum.org/dc51587e-c369-4fbf-8817-a5e7756cbe09. FMNH3059985. Field Museum of Natural History.
Mimusops coriacea,
Minquartia guianensis,
Monstera adansonii,
Moronobea coccinea,
Morus insignis,
Morus nigra,"Morus nigra L. (n.d.). Seed Information Database. Retrieved December 13, 2024, from https://ser-sid.org/species/9fc1da04-7ca9-4e2c-bd64-d7a7d0af33d4"
Mouriri collocarpa,
Mouriri crassifolia,https://db.fieldmuseum.org/8c37a887-0afc-444a-83fc-52621c3c1c91. FMNH2798706. Field Museum of Natural History.
Mouriri elliptica,
Mouriri nervosa,
Moutabea aculeata,https://db.fieldmuseum.org/5695e40a-7adf-4f07-bff9-167eb0f540b1. FMNH3956384. Field Museum of Natural History.
Moutabea guianensis,https://db.fieldmuseum.org/00ae11e9-7aae-4772-a498-5e7b4c5892b9. FMNH398224. Field Museum of Natural History.
Musa velutina,
Myrcia guajavaefolia,
Naucleopsis ulei,"Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/28599 Photographer: MBG CC-BY-NC-SA
https://db.fieldmuseum.org/6cc4d5b6-9e09-45b1-a1ce-13711aa1c753. FMNH2911763. Field Museum of Natural History."
Nectandra cuspidata,
Neea laxa,
Neea robusta,
Nepsera aquatica,
Norantea guianensis,
Ocotea cernua,
Ocotea oblonga,
Ocotea percurrens,
Ocotea tomentosa,
Ocotea wachenheimii,https://db.fieldmuseum.org/5c4ec611-c3d4-4500-81df-750235014ac2. FMNH2835007. Field Museum of Natural History.
Odontocarya emarginata,http://specimens.kew.org/herbarium/K001106569
Odontocarya petiolaris,
Odontocarya tripetala,https://db.fieldmuseum.org/284b34db-5cf6-4004-9855-ef760359d25e. FMNH300002. Field Museum of Natural History.
Oenocarpus bacaba,
Oenocarpus bataua,
Oenocarpus mapora,
Omphalea diandra,
Opuntia cardiosperma,
Orbignya martiana,
Oreopanax capitatum,
Ormosia arborea,
Orthomene schomburgkii,
Osteophloeum platyspermum,https://db.fieldmuseum.org/c62a58e5-e363-431b-881a-99ec59b37da7. FMNH2969151. Field Museum of Natural History.
Oxandra asbecki,
Oxandra mediocris ,
Pacouria guianensis,
Panicum elephantipes,
Panicum laxum,
